반,번호,학번,점수
1,1,30101,60.1
2,1,30201,56.9
5,1,30501,75.1
6,1,30601,60.8
7,1,30701,44.0
8,1,30801,11.8
9,1,30901,85.7
1,2,30102,23.7
4,2,30402,86.4
7,2,30702,82.3
8,2,30802,15.2
1,3,30103,57.0
2,3,30203,90.7
4,3,30403,52.6
6,3,30603,87.6
8,3,30803,65.2
1,4,30104,15.6
2,4,30204,27.2
5,4,30504,91.8
6,4,30604,20.2
7,4,30704,16.1
9,4,30904,57.0
2,5,30205,81.8
3,5,30305,31.9
4,5,30405,20.1
5,5,30505,90.7
6,5,30605,56.6
7,5,30705,77.9
1,6,30106,11.6
2,6,30206,57.1
3,6,30306,51.5
5,6,30506,81.7
6,6,30606,95.0
7,6,30706,24.7
8,6,30806,20.2
9,6,30906,20.2
3,7,30307,26.9
5,7,30507,90.7
6,7,30607,73.8
7,7,30707,72.4
8,7,30807,35.2
9,7,30907,100.0
1,8,30108,60.2
2,8,30208,60.7
3,8,30308,91.0
5,8,30508,43.5
7,8,30708,72.8
8,8,30808,15.5
9,8,30908,39.0
1,9,30109,100.0
2,9,30209,82.8
4,9,30409,90.0
5,9,30509,48.4
6,9,30609,73.6
7,9,30709,31.6
9,9,30909,19.5
2,10,30210,81.8
4,10,30410,85.7
5,10,30510,40.2
7,10,30710,15.2
8,10,30810,48.1
1,11,30111,20.1
2,11,30211,82.5
3,11,30311,48.9
4,11,30411,31.8
6,11,30611,20.2
7,11,30711,73.3
8,11,30811,73.6
9,11,30911,30.7
1,12,30112,90.7
2,12,30212,82.7
6,12,30612,78.7
7,12,30712,11.8
8,12,30812,70.6
2,13,30213,11.8
3,13,30313,60.8
4,13,30413,73.0
5,13,30513,87.0
6,13,30613,69.5
7,13,30713,77.4
8,13,30813,8.0
9,13,30913,58.4
1,14,30114,20.2
2,14,30214,86.4
3,14,30314,16.4
8,14,30814,20.2
2,15,30215,83.3
4,15,30415,59.8
5,15,30515,81.5
8,15,30815,72.2
9,15,30915,76.7
2,16,30216,60.9
3,16,30316,87.0
4,16,30416,11.8
5,16,30516,40.0
6,16,30616,56.5
7,16,30716,69.7
8,16,30816,95.0
1,17,30117,70.4
3,17,30317,60.4
4,17,30417,78.0
5,17,30517,24.1
6,17,30617,19.7
7,17,30717,61.7
2,18,30218,37.6
4,18,30418,31.8
5,18,30518,19.3
6,18,30618,20.0
8,18,30818,82.5
3,19,30319,86.7
4,19,30419,77.2
6,19,30619,73.5
7,19,30719,15.6
9,19,30919,15.2
1,20,30120,28.2
3,20,30320,50.9
4,20,30420,47.8
5,20,30520,15.2
6,20,30620,73.0
8,20,30820,83.0
9,20,30920,12.5
2,21,30221,60.6
3,21,30321,91.3
4,21,30421,83.3
5,21,30521,56.0
6,21,30621,40.1
7,21,30721,68.7
1,22,30122,66.5
2,22,30222,62.1
3,22,30322,81.8
6,22,30622,95.0
7,22,30722,47.4
8,22,30822,91.6
9,22,30922,100.0
1,23,30123,64.6
4,23,30423,86.7
5,23,30523,30.9
6,23,30623,47.7
7,23,30723,15.2
9,23,30923,65.2
1,24,30124,20.2
3,24,30324,46.9
5,24,30524,95.7
6,24,30624,11.8
8,24,30824,69.4
9,24,30924,56.4
2,25,30225,61.3
3,25,30325,47.6
4,25,30425,23.5
5,25,30525,39.1
7,25,30725,81.7
9,25,30925,60.7
1,26,30126,64.2
2,26,30226,51.7
4,26,30426,23.0
5,26,30526,73.8
6,26,30626,27.7
9,26,30926,28.1
1,27,30127,56.3
3,27,30327,40.0
4,27,30427,60.3
5,27,30527,36.1
6,27,30627,40.5
7,27,30727,73.4
9,27,30927,19.5
1,28,30128,27.7
3,28,30328,91.6
5,28,30528,81.5
6,28,30628,51.5
8,28,30828,15.5
1,29,30129,61.0
3,29,30329,70.2
4,29,30429,86.5
5,29,30529,73.9
7,29,30729,15.2
9,29,30929,19.8
1,30,30130,47.6
